Title,Artist,love,breakup,party,ambition,nostalgia,heartbreak,friendship,betrayal,happiness,sadness,hope,anger,revenge,loneliness,celebration,motivation,reflection,peace
Please Please Please,Sabrina Carpenter,0.005910745,0.0012087801,0.0015980325,0.030986227,0.019120313,0.049267165,0.89190876,,,,,,,,,,,
I Had Some Help,Post Malone Featuring Morgan Wallen,0.31099075,0.004275723,0.016220855,0.05112489,0.13334271,0.2834657,0.20057938,,,,,,,,,,,
A Bar Song (Tipsy),Shaboozey,0.034224093,0.0024760761,0.23641545,0.14095789,0.19470754,0.17906225,0.21215668,,,,,,,,,,,
Espresso,Sabrina Carpenter,0.057078093,0.0021861386,0.32552627,0.18087518,0.16347116,0.09615439,0.17470878,,,,,,,,,,,
Million Dollar Baby,Tommy Richman,0.3375852,0.049544122,0.17665328,0.038963586,0.15050276,0.19950631,0.047244716,,,,,,,,,,,
Not Like Us,Kendrick Lamar,0.88580227,0.004172494,0.00833536,0.013160588,0.041975435,0.027216332,0.019337635,,,,,,,,,,,
Too Sweet,Hozier,0.050451994,0.0068816575,0.04025825,0.06781285,0.27822697,0.23734553,0.3190227,,,,,,,,,,,
Beautiful Things,Benson Boone,0.0011753589,0.00015827476,0.9902288,0.0032667033,0.0011478389,0.0028190515,0.0012040926,,,,,,,,,,,
Lose Control,Teddy Swims,0.050278142,0.0027949628,0.022444207,0.015787553,0.06171903,0.79586923,0.051106922,,,,,,,,,,,
Birds Of A Feather,Billie Eilish,0.0046123234,0.0004913196,0.00141015,0.0034073454,0.0071736053,0.0037152343,0.9791901,,,,,,,,,,,
Pink Skies,Zach Bryan,0.011491362,0.0024579281,0.0018051256,0.15047923,0.4883461,0.123432666,0.22198756,,,,,,,,,,,
Houdini,Eminem,0.026721423,0.0024166058,0.0023004927,0.5305944,0.16010019,0.061222818,0.2166441,,,,,,,,,,,
Fortnight,Taylor Swift Featuring Post Malone,0.08348589,0.008810927,0.070504375,0.08366091,0.6857826,0.039782897,0.027972402,,,,,,,,,,,
Like That,"Future, Metro Boomin & Kendrick Lamar",0.47794154,0.014352043,0.3574133,0.015184642,0.086352475,0.026355902,0.022400182,,,,,,,,,,,
Cowgirls,Morgan Wallen Featuring ERNEST,0.031519216,0.0031445979,0.0049039405,0.22261971,0.16049874,0.5177317,0.059582103,,,,,,,,,,,
"Good Luck, Babe!",Chappell Roan,0.03341544,0.0015481081,0.0029014046,0.6473428,0.07291349,0.13986929,0.10200943,,,,,,,,,,,
