Title,Artist,Cleaned_Lyrics
Please Please Please,Sabrina Carpenter,84 contributorstranslationsespañolсрпскиportuguêsdeutschtürkçeitalianopolskitiếng việtbahasa indonesiaрусскийnorsk bokmål riksmål françaisplease please please lyrics i know i have good judgment i know i have good taste it s funny and it s ironic that only i feel that way i promise em that you re different and everyone makes mistakes but just don t i heard that you re an actor so act like a stand up guy whatever devil s inside you don t let him out tonight i tell them it s just your culture and everyone rolls their eyes yeah i know all i m asking baby please please please don t prove i m right and please pleasе please don t bring me to tеars when i just did my makeup so nice heartbreak is one thing my ego s another i beg you don t embarrass me motherfucker oh please please please ah well i have a fun idea babe uh huh maybe just stay inside i know you re cravin some fresh air but the ceiling fan is so nice it s so nice right and we could live so happily if no one knows that you re with me i m just kidding but really kinda really really see sabrina carpenter liveget tickets as low as 50you might also like please please please please don t prove i m right don t prove i m right and please please please don t bring me to tears when i just did my makeup so nice heartbreak is one thing heartbreak is one thing my ego s another ego s another i beg you don t embarrass me motherfucker oh please please please ah if you wanna go and be stupid don t do it in front of me if you don t wanna cry to my music don t make me hate you prolifically please please please please please please please please please please please please please ah 8embed
I Had Some Help,Post Malone Featuring Morgan Wallen,45 contributorstranslationsportuguêsdeutschnorsk bokmål riksmål españolpolskii had some help lyrics you got a lotta nerve don t you baby i only hit the curb cause you made me you re tellin all your friends that i m crazy like i m the only one why d you throw them stones if you had a wild hair of your own or two livin in your big glass house with a view i thought you knew i had some help it ain t like i can make this kinda mess all by myself don t act like you ain t help me pull that bottle off the shelf been deep in every weekend if you couldn t tell they say teamwork makes the dream work hell i had some help help help you thought i d take the blame for us a crumbling go round like you ain t guilty of somethin already lost the game that you been runnin guess it s catchin up to you huh you think that you re so innocent after all the shit you did i ain t an angel you ain t heaven sent can t wash our hands of this see post malone liveget tickets as low as 81you might also like i had some help it ain t like i can make this kinda mess all by myself don t act like you ain t help me pull that bottle off the shelf been deep in every weekend if you couldn t tell they say teamwork makes the dream work hell i had some help help help help help it takes two to break a heart in two ooh baby you blame me and baby i blame you aw if that ain t the truth oh i had some help it ain t like i can make this kinda mess all by myself don t act like you ain t help me pull that bottle off the shelf been deep in every weekend if you couldn t tell they say teamwork makes the dream work hell i had some help help help help help 5embed
A Bar Song (Tipsy),Shaboozey,24 contributorstranslationsespañoldeutschnorsk bokmål riksmål a bar song tipsy lyrics my baby want a birkin she s been tellin me all night long gasoline and groceries the list goes on and on this nine to five ain t workin why the hell do i work so hard i can t worry bout my problems i can t take em when i m gone uh one here comes the two to the three to the four tell em bring another round we need plenty more two steppin on the table she don t need a dance floor oh my good lord someone pour me up a double shot of whiskey they know me and jack daniеl s got a history there s a party downtown near 5th street evеrybody at the bar gettin tipsy everybody at the bar gettin tipsy everybody at the bar gettin tipsy i ve been boozey since i left i ain t changin for a check tell my ma i ain t forget oh lord i woke up drunk at 10 a m we gon do this shit again tell your girl to bring a friend oh lord you might also like one here comes the two to the three to the four tell em bring another round we need plenty more two steppin on the table she don t need a dance floor oh my good lord someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniel s got a history we go way back there s a party downtown near 5th street everybody at the bar gettin tipsy everybody at the bar gettin tipsy at the bar gettin tipsy everybody at the bar gettin tipsy one here comes the two to the three to the four when it s last call and they kick us out the door it s gettin kind of late but the ladies want some more oh my good lord tell em drinks on me someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniel s got a history way back there s a party downtown near 5th street come on everybody at the bar gettin tipsy woo ooh someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniel s got a history it s jack d at the bottom of a bottle don t miss me baby don t miss me everybody at the bar gettin tipsy at the bar gettin tipsy everybody at the bar gettin tipsy everybody at the bar gettin tipsy that s fuckin messed up bro they kicked me out the bar2embed
Espresso,Sabrina Carpenter,85 contributorstranslationsсрпскиnorsk bokmål riksmål türkçepolskiالعربيةfrançaisitalianodeutschportuguêsespañolbahasa indonesiaไทย phasa thaitiếng việtespresso lyrics now he s thinkin bout me every night oh is it that sweet i guess so say you can t sleep baby i know that s that me espresso move it up down left right oh switch it up like nintendo say you can t sleep baby i know that s that me espresso i can t relate to desperation my give a fucks are on vacation and i got this one boy and he won t stop calling when they act this way i know i got em mm too bad your ex don t do it for ya mm walked in and dream came trued it for ya mm soft skin and i perfumed it for ya yes i know i mountain dew it for ya yes that morning coffee brewed it for ya yes one touch and i brand newed it for ya ooh and now he s thinkin bout me every night oh is it that sweet i guess so say you can t sleep baby i know that s that me espresso move it up down left right oh switch it up like nintendo say you can t sleep baby i know that s that me espresso see sabrina carpenter liveget tickets as low as 50you might also like holy shit is it that sweet i guess so mm i m working late cause i m a singer oh he looks so cute wrapped round my finger my twisted humor make him laugh so often my honeybee come and get this pollen mm too bad your ex don t do it for ya mm walked in and dream came trued it for ya mm soft skin and i perfumed it for ya ayy ayy oh yes i know i mountain dew it for ya yes that morning coffee brewed it for ya yes one touch and i brand newed it for ya stupid now he s thinkin bout me every night oh is it that sweet i guess so say you can t sleep baby i know that s that me espresso move it up down left right oh switch it up like nintendo say you can t sleep baby i know that s that me espresso yes thinkin bout me every night oh is it that sweet i guess so yes say you can t sleep baby i know that s that me espresso yes move it up down left right oh move it up down left right oh switch it up like nintendo yes say you can t sleep baby i know that s that me espresso is it that sweet i guess so mm that s that me espresso24embed
Million Dollar Baby,Tommy Richman,78 contributorstranslationsportuguêsdeutschespañolрусскийpolskinorsk bokmål riksmål million dollar baby lyrics do it baby do what i should think do it do it baby do what i could think do it do it baby do what i should think do it do it baby do what i could think do it do it do it baby do what i should think do it baby do what i could think do it do it do it baby do what i should think do it do it baby do what i could think i ain t never rep a set baby tsk tsk i ain t do no wrong i could clean up good for you oh i know right from wrong cause i wanna make it so badly i m a million dollar baby don t at me yeah oh hell no yeah yeah you rep my city for so damn long ah ah but you still don t notice me my sound next va next yeah yeah i m at they neck yeah yeah i m running up a check yeah yeah yeah yeah she a bad lil mama she a diva no matter what happens he cannot come between us again i know we re better than friends better than friends i took her to queen s gambit yeah yeah showed around my friends tried to pick some energy up it don t matter i know you haven t moved on if you tried oh no i don t believe it baby i know you lied oh no all night long what you mean i changed haven t stayed the same i ve been losing my mind ooh i said the city is mine ooh you might also like i ain t never rep a set baby ain t do no wrong i could clean up good for you oh i know right from wrong cause i wanna make it so badly i m a million dollar baby don t at me i ain t never rep a set baby ain t do no wrong i could clean up good for you oh i know right from wrong cause i wanna make it so badly i m a million dollar baby don t at me no no no hell hell nah yeah hell hell no hell hell no do it baby do what i should think do it do it baby do what i could think do it baby do what i should think do it do it baby do what i could think hell hell nah yeah hell hell nah hell hell nah4embed
Not Like Us,Kendrick Lamar,1179 contributorstranslationstürkçeportuguêsрусскийespañoldeutschpolskiromânăfrançaisnot like us lyrics psst i see dead people mustard on the beat ho ayy mustard on the beat ho deebo any rap nigga he a free throw man down call an amberlamps tell him breathe bro nail a nigga to the cross he walk around like teezo what s up with these jabroni ass niggas tryna see compton the industry can hate me fuck em all and they mama how many opps you really got i mean it s too many options i m finna pass on this body i m john stockton beat your ass and hide the bible if god watchin sometimes you gotta pop out and show niggas certified boogeyman i m the one that up the score with em walk him down whole time i know he got some ho in him pole on him extort shit bully death row on him say drake i hear you like em young you better not ever go to cell block one to any bitch that talk to him and they in love just make sure you hide your lil sister from him they tell me chubbs the only one that get your hand me downs and party at the party playin with his nose now and baka got a weird case why is he around certified lover boy certified pedophiles wop wop wop wop wop dot fuck em up wop wop wop wop wop i ma do my stuff why you trollin like a bitch ain t you tired tryna strike a chord and it s probably a minor you might also like they not like us they not like us they not like us they not like us they not like us they not like us you think the bay gon let you disrespect pac nigga i think that oakland show gon be your last stop nigga did cole foui i don t know why you still pretendin what is the owl bird niggas and bird bitches go the audience not dumb shape the stories how you want hey drake they re not slow rabbit hole is still deep i can go further i promise ain t that somethin b rad stands for bitch and you malibu most wanted ain t no law boy you ball boy fetch gatorade or somethin since 2009 i had this bitch jumpin you niggas ll get a wedgie be flipped over your boxers what ovo for the other vaginal option pussy nigga better straighten they posture got famous all up in compton might write this for the doctorate tell the pop star quit hidin fuck a caption want action no accident and i m hands on he fuck around get polished fucked on wayne girl while he was in jail that s connivin then get his face tatted like a bitch apologizin i m glad deroz came home y all didn t deserve him neither from alondra down to central nigga better not speak on serena and your homeboy need subpoena that predator move in flocks that name gotta be registered and placed on neighborhood watch i lean on you niggas like another line of wock yeah it s all eyes on me and i ma send it up to pac ayy put the wrong label on me i ma get em dropped ayy sweet chin music and i won t pass the aux ayy how many stocks do i really have in stock ayy one two three four five plus five ayy devil is a lie he a 69 god ayy freaky ass niggas need to stay they ass inside ayy roll they ass up like a fresh pack of za ayy city is back up it s a must we outside ayy they not like us they not like us they not like us they not like us they not like us they not like us once upon a time all of us was in chains homie still doubled down callin us some slaves atlanta was the mecca buildin railroads and trains bear with me for a second let me put y all on game the settlers was usin townfolk to make em richer fast forward 2024 you got the same agenda you run to atlanta when you need a check balance let me break it down for you this the real nigga challenge you called future when you didn t see the club ayy what lil baby helped you get your lingo up what 21 gave you false street cred thug made you feel like you a slime in your head ayy what quavo said you can be from northside what 2 chainz say you good but he lied you run to atlanta when you need a few dollars no you not a colleague you a fuckin colonizer the family matter and the truth of the matter it was god s plan to show y all the liar mm mm mm he a fan he a fan he a fan mm he a fan he a fan he a freaky ass nigga he a 69 god freaky ass nigga he a 69 god hey hey hey hey run for your life hey hey hey hey run for your life freaky ass nigga he a 69 god freaky ass nigga he a 69 god hey hey hey hey run for your life hey hey hey hey run for your life let me hear you say ov ho ov ho say ov ho ov ho then step this way step that way then step this way step that way are you my friend are we locked in then step this way step that way then step this way step that way129embed
Too Sweet,Hozier,110 contributorstranslationsespañoldanskdeutschmagyarالعربيةnorsk bokmål riksmål portuguêsfrançaistürkçetoo sweet lyrics it can t be said i m an early bird it s 10 o clock before i say a word baby i can never tell how do you sleep so well you keep tellin me to live right to go to bed before the daylight but then you wake up for the sunrise you know you don t gotta pretend baby now and then don t you just wanna wake up dark as a lake smellin like a bonfire lost in a haze if you re drunk on life babe i think it s great but while in this world i think i ll take my whiskey neat my coffee black and my bed at 3 you re too sweet for me you re too sweet for me i take my whiskеy neat my coffee black and my bed at 3 you re too sweet for mе you re too sweet for me see hozier liveget tickets as low as 50you might also like ooh ooh ooh ooh i aim low i aim true and the ground s where i go i work late where i m free from the phone and the job gets done but you worry some i know but who wants to live forever babe you treat your mouth as if it s heaven s gate the rest of you like you re the tsa i wish i could go along babe don t get me wrong you know you re bright as the morning as soft as the rain pretty as a vine as sweet as a grape if you can sit in a barrel maybe i ll wait until that day i d rather take my whiskey neat my coffee black and my bed at 3 you re too sweet for me you re too sweet for me i take my whiskey neat my coffee black and my bed at 3 you re too sweet for me you re too sweet for me woah woah woah woah woah woah woah woah i take my whiskey neat my coffee black and my bed at 3 you re too sweet for me you re too sweet for me5embed
Beautiful Things,Benson Boone,46 contributorstranslationsdeutschportuguêsespañolnorsk bokmål riksmål françaisbeautiful things lyrics for a while there it was rough but lately i ve been doin better than the last four cold decembers i recall and i see my family every month i found a girl my parents love she ll come and stay the night and i think i might have it all and i thank god every day for the girl he sent my way but i know the things he gives me he can take away and i hold you every night and that s a feeling i wanna get used to but there s no man as terrified as the man who stands to lose you oh i hope i don t losе you mm please stay i want you i need you oh god don t take thеse beautiful things that i ve got please stay i want you i need you oh god don t take these beautiful things that i ve got see benson boone liveget tickets as low as 91you might also like oh ooh please don t take i found my mind i m feelin sane it s been a while but i m finding my faith if everything s good and it s great why do i sit and wait til it s gone oh i ll tell ya i know i ve got enough i ve got peace and i ve got love but i m up at night thinkin i just might lose it all please stay i want you i need you oh god don t take these beautiful things that i ve got oh ooh please stay i want you i need you oh god i need these beautiful things that i ve got7embed
Lose Control,Teddy Swims,29 contributorstranslationsespañoldeutschnorsk bokmål riksmål françaislose control lyrics something s got a hold of me lately no i don t know myself anymore feels like the walls are all closin in and the devil s knockin at my door woah out of my mind how many times did i tell you i m no good at bein alone yeah it s taken a toll on me tryin my best to keep from tearin the skin off my bones don t you know i lose control when you re not next to me i m fallin apart right in front of you can t you see i lose control when you re not next to me mhm yeah you re breakin my heart baby you make a mess of me problematic the problem is i want your body like a fiend like a bad habit bad habits hard to break when i m with you yeah i know i can do it on my own but i want that real full moon black magic and it takes two problematic the problem is when i m with you i m an addict and i need some relief my skin in your teeth can t see the forest through the trees got me down on my knees darlin please oh see teddy swims liveget tickets as low as 73you might also like i lose control when you re not next to me i m fallin apart right in front of you can t you see i lose control when you re not next to me mm hmm yeah you re breakin my heart baby you make a mess of me yeah i lose control when you re not here with me mm i m fallin apart right in front of you can t you see i lose control when you re not here with me mhm yeah you re breakin my heart baby you make a mess of meembed
Birds Of A Feather,Billie Eilish,127 contributorstranslationsportuguêsالعربيةhebrewespañoltürkçeελληνικάdeutschitalianopolskibahasa indonesiafrançaisрусскийtiếng việtукраїнськаnorsk bokmål riksmål shqipbirds of a feather lyrics i want you to stay i want you to stay til i m in the grave til i rot away dead and buried til i m in the casket you carry if you go i m goin too uh cause it was always you alright and if i m turnin blue please don t save me nothin left to lose without my baby birds of a feather we should stick together i know i said i d never think i wasn t better alone can t change the weather might not be forever but if it s forever it s even better and i don t know what i m cryin for i don t think i could love you more it might not be long but baby i i ll love you til the day that i die til the day that i die til the light leaves my eyes til the day that i die see billie eilish liveget tickets as low as 95you might also like i want you to see hmm how you look to me hmm you wouldn t believe if i told ya you would keep the compliments i throw ya but you re so full of shit uh tell me it s a bit oh say you don t see it your mind s polluted say you wanna quit don t be stupid and i don t know what i m cryin for i don t think i could love you more might not be long but baby i don t wanna say goodbye birds of a feather we should stick together i know til the day that i die i said i d never think i wasn t better alone til the light leaves my eyes can t change the weather might not be forever til the day that i die but if it s forever it s even better i knew you in another life you had that same look in your eyes i love you don t act so surprised12embed
